metric_code,period_label,year,school_year_start_year,education_level,source_publisher,indicator_code,value,data_status,break_flag
K2,SY2009–2010,2009,2009,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,6766952,Official,
K2,SY2014–2015,2014,2014,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,7220389,Official,
K2,SY2015–2016,2015,2015,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,7319461,Official,
K2,SY2016–2017,2016,2016,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,7397290,Official,K-12 Senior High rollout (2016)
K2,SY2017–2018,2017,2017,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,9007148,Official,K-12 Senior High rollout (2016)
K2,SY2018–2019,2018,2018,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,10562477,Official,K-12 Senior High rollout (2016)
K2,SY2019–2020,2019,2019,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,11346712,Official,K-12 Senior High rollout (2016)
K2,SY2020–2021,2020,2020,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,11696280,Official,K-12 Senior High rollout (2016)
K2,SY2021–2022,2021,2021,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,11566641,Official,K-12 Senior High rollout (2016)
K2,SY2022–2023,2022,2022,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,12575149,Official,K-12 Senior High rollout (2016)
K2,SY2023–2024,2023,2023,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,12594216,Official,K-12 Senior High rollout (2016)
K2,SY2024–2025,2024,2024,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,11865598,Official,K-12 Senior High rollout (2016)
K3,SY1981–1982,1981,1981,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,79.32,Official,
K3,SY1983–1984,1983,1983,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,84,Official,
K3,SY1984–1985,1984,1984,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,85.6,Official,
K3,SY1985–1986,1985,1985,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,85.36,Official,
K3,SY1986–1987,1986,1986,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,84.42,Official,
K3,SY1987–1988,1987,1987,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,84.47,Official,
K3,SY1988–1989,1988,1988,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,84.32,Official,
K3,SY1989–1990,1989,1989,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,86.11,Official,
K3,SY1990–1991,1990,1990,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,87.31,Official,
K3,SY1998–1999,1998,1998,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,80.36,Official,
K3,SY1999–2000,1999,1999,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,81.97,Official,
K3,SY2001–2002,2001,2001,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,95.34,Official,
K3,SY2002–2003,2002,2002,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,89.25,Official,
K3,SY2003–2004,2003,2003,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,89.11,Official,
K3,SY2004–2005,2004,2004,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,89.5,Official,
K3,SY2005–2006,2005,2005,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,89.39,Official,
K3,SY2006–2007,2006,2006,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,86.94,Official,
K3,SY2007–2008,2007,2007,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,86.25,Official,
K3,SY2008–2009,2008,2008,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,87.62,Official,
K3,SY2009–2010,2009,2009,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.CMPT.ZS,87.43,Official,
